id,name,surname,registration_date,age,education
1,Antonello,Ruggeri,2020-07-08,57,High School
2,Goffredo,Golgi,2021-12-18,40,Ph.D.
3,Toni,Celentano,2020-12-26,59,Master's Degree
4,Severino,Paruta,2023-08-21,19,Bachelor's Degree
5,Antonio,Odescalchi,2018-08-14,33,Ph.D.
6,Marina,Borzomì,2023-05-02,21,Secondary School
7,Griselda,Gentilini,2020-09-21,25,High School
8,Giada,Solimena,2019-05-21,48,Secondary School
9,Rosa,Manunta,2022-04-26,42,Master's Degree
10,Zaira,Einaudi,2020-12-28,24,Master's Degree
11,Flavio,Lippomano,2019-10-31,33,Primary School
12,Cristina,Balotelli,2018-08-01,31,Bachelor's Degree
13,Paoletta,Fusani,2018-12-02,35,Secondary School
14,Alberto,Caetani,2019-12-29,42,Secondary School
15,Michelotto,Metella,2019-09-22,22,Secondary School
16,Simone,Catalano,2021-12-01,57,Master's Degree
17,Goffredo,Camuccini,2021-05-11,46,Secondary School
18,Galasso,Aldobrandi,2018-01-05,26,Primary School
19,Puccio,Sobrero,2019-08-12,18,Secondary School
20,Amleto,Ferraris,2019-03-01,31,Secondary School
21,Rosina,Spadafora,2021-08-12,28,High School
22,Eliana,Pepe,2020-09-24,38,Secondary School
23,Arnaldo,Torricelli,2021-02-17,52,Ph.D.
24,Claudio,Grisoni,2018-06-29,58,Secondary School
25,Raimondo,Costanzi,2021-11-24,29,Ph.D.
26,Adamo,Sraffa,2019-04-12,30,Bachelor's Degree
27,Dante,Gozzano,2018-06-19,37,Primary School
28,Matteo,Borroni,2022-11-10,41,Bachelor's Degree
29,Luchino,Aldobrandi,2018-01-27,28,Secondary School
30,Lando,Castiglione,2019-02-13,34,Primary School
31,Morena,Celentano,2018-01-10,39,High School
32,Arsenio,Galtarossa,2021-10-14,56,Master's Degree
33,Achille,Pedrazzini,2023-11-02,18,Master's Degree
34,Dario,Acerbi,2019-07-11,39,Primary School
35,Arnulfo,Falier,2020-07-19,37,High School
36,Sophia,Collodi,2023-04-28,37,Bachelor's Degree
37,Cirillo,Battelli,2019-03-19,38,Secondary School
38,Raffaellino,Valguarnera,2018-08-15,48,Bachelor's Degree
39,Donatella,Pontecorvo,2017-12-01,29,Primary School
40,Marta,Zanichelli,2023-08-06,34,Primary School
41,Raffaellino,Cutuli,2023-05-03,40,Bachelor's Degree
42,Temistocle,Mogherini,2020-03-30,19,Master's Degree
43,Pompeo,Sagese,2018-06-20,44,High School
44,Vincenzo,Grossi,2019-09-22,42,Master's Degree
45,Giustino,Comboni,2021-12-07,18,Bachelor's Degree
46,Fedele,Gianinazzi,2021-07-20,20,Ph.D.
47,Costantino,Cutrufo,2020-11-22,29,Master's Degree
48,Gianpietro,Baracca,2021-06-09,30,Primary School
49,Rodolfo,Costanzi,2023-07-01,33,Bachelor's Degree
50,Melissa,Fabrizi,2021-04-26,40,Master's Degree
51,Gioachino,Bazzi,2020-04-25,40,Master's Degree
52,Raffaella,Scarlatti,2020-12-04,34,Bachelor's Degree
53,Rosina,Carocci,2020-10-09,24,Master's Degree
54,Damiano,Piazzi,2020-01-11,41,High School
55,Rosario,Berlusconi,2022-10-01,20,Bachelor's Degree
56,Cirillo,Bersani,2018-05-22,23,Secondary School
57,Dario,Roccabonella,2020-10-28,39,Master's Degree
58,Isabella,Mascagni,2023-06-23,57,High School
59,Gelsomina,Desio,2019-12-23,27,High School
60,Adriana,Cammarata,2022-08-23,35,Ph.D.
61,Marcella,Chittolini,2017-12-18,52,Primary School
62,Rosina,Zacchia,2021-11-16,37,Ph.D.
63,Gilberto,Agostini,2018-08-05,38,High School
64,Ottavio,Roero,2018-06-02,29,Primary School
65,Lodovico,Federici,2018-07-28,58,Secondary School
66,Fortunata,Mazzacurati,2021-12-24,37,Bachelor's Degree
67,Ilaria,Chiaramonte,2019-07-05,28,Ph.D.
68,Antonello,Inzaghi,2019-06-05,21,Primary School
69,Stefano,Onisto,2020-06-14,56,Master's Degree
70,Piergiuseppe,Pistoletto,2021-08-18,43,Primary School
71,Vincenza,Cantimori,2018-02-21,33,Ph.D.
72,Michelangelo,Mattarella,2022-03-26,56,High School
73,Luciano,Offredi,2023-09-20,34,Bachelor's Degree
74,Orazio,Pizziol,2022-04-09,59,Bachelor's Degree
75,Loretta,Ferrari,2018-10-31,27,Primary School
76,Dino,Tommaseo,2023-03-05,58,Primary School
77,Elisa,Bellocchio,2022-05-14,49,High School
78,Mariana,Cagnotto,2023-09-27,31,Secondary School
79,Ugo,Oscuro,2022-10-27,54,Secondary School
80,Piergiuseppe,Mogherini,2018-06-14,58,Bachelor's Degree
81,Paloma,Valmarana,2021-02-19,24,Secondary School
82,Ernesto,Moccia,2023-02-12,45,High School
83,Paolo,Donà,2019-04-29,27,Primary School
84,Stefania,Rossi,2019-07-22,44,High School
85,Durante,Carullo,2021-01-07,27,Bachelor's Degree
86,Mirco,Fiorucci,2021-08-02,57,Secondary School
87,Bernardo,Ammaniti,2019-09-05,51,Bachelor's Degree
88,Rolando,Gatto,2018-12-18,49,Ph.D.
89,Flora,Silvestri,2023-03-17,38,Bachelor's Degree
90,Gabriella,Argan,2023-03-24,35,High School
91,Marcello,Martucci,2019-08-21,48,Bachelor's Degree
92,Piersanti,Galeati,2023-06-23,27,Primary School
93,Benedetto,Fattori,2022-03-15,42,Master's Degree
94,Goffredo,Errani,2023-08-11,29,Ph.D.
95,Dario,Gabrieli,2021-02-20,49,High School
96,Raimondo,Asmundo,2018-06-19,29,Primary School
97,Giovanna,Toldo,2022-05-28,49,High School
98,Giorgio,Farnese,2022-02-21,50,Master's Degree
99,Loretta,Matteotti,2018-07-18,50,High School
100,Romina,Sagnelli,2018-11-03,22,High School
101,Amanda,Foà,2019-04-05,55,Ph.D.
102,Virgilio,Caetani,2018-05-20,20,High School
103,Azeglio,Scandone,2020-11-10,41,Master's Degree
104,Emilio,Sibilia,2023-02-14,60,High School
105,Alfio,Camilleri,2021-06-14,49,High School
106,Vito,Faranda,2023-06-26,36,High School
107,Ruggiero,Veltroni,2020-07-24,59,Secondary School
108,Ninetta,Montecchi,2022-10-12,55,Primary School
109,Giorgio,Pometta,2022-06-06,48,Master's Degree
110,Toni,Filangieri,2018-05-16,34,High School
111,Temistocle,Passalacqua,2022-02-25,60,High School
112,Ivo,Renier,2019-11-04,47,High School
113,Donato,Galtarossa,2019-07-28,50,Ph.D.
114,Milena,Nugnes,2020-10-31,40,High School
115,Pellegrino,Caboto,2023-10-04,35,Ph.D.
116,Lucrezia,Puglisi,2023-03-07,40,Ph.D.
117,Liliana,Ruffini,2019-09-12,44,High School
118,Patrizia,Cipolla,2020-09-11,29,Ph.D.
119,Irma,Parpinel,2023-01-06,46,High School
120,Vanessa,Lamborghini,2018-08-10,39,Master's Degree
121,Alderano,Tuzzolino,2018-04-06,27,Master's Degree
122,Greco,Rusticucci,2020-10-22,28,Secondary School
123,Rembrandt,Vivaldi,2022-05-11,41,Bachelor's Degree
124,Filippo,Giannone,2019-03-15,36,Ph.D.
125,Gianluca,Palumbo,2023-09-07,23,Ph.D.
126,Amleto,Broggini,2020-06-24,60,Ph.D.
127,Guglielmo,Piazzi,2021-10-14,44,Secondary School
128,Fabrizio,Zola,2023-02-24,57,Master's Degree
129,Loredana,Perozzo,2018-07-13,51,Ph.D.
130,Flora,Bertolucci,2018-09-21,44,High School
131,Melissa,Mocenigo,2021-10-11,57,Master's Degree
132,Ornella,Fieramosca,2018-10-06,58,High School
133,Loredana,Treves,2021-08-31,19,Secondary School
134,Napoleone,Moccia,2022-08-14,28,Master's Degree
135,Fabia,Canali,2021-04-13,46,Master's Degree
136,Guarino,Bernardini,2018-06-13,59,Secondary School
137,Sonia,Sommaruga,2021-03-11,32,Ph.D.
138,Zaira,Bonolis,2018-04-17,29,Ph.D.
139,Allegra,Cianciolo,2019-10-31,20,Bachelor's Degree
140,Patrizia,Chiappetta,2021-05-02,32,Secondary School
141,Ennio,Chiesa,2022-04-27,21,Secondary School
142,Aurora,Folliero,2021-04-21,25,High School
143,Benito,Marcacci,2020-06-24,29,Bachelor's Degree
144,Mirco,Paolucci,2018-11-26,30,Master's Degree
145,Cirillo,Cattaneo,2019-06-28,20,Bachelor's Degree
146,Vito,Balbi,2020-11-30,47,High School
147,Olga,Zanichelli,2020-07-12,42,Ph.D.
148,Vincenza,Baglioni,2017-12-05,57,Primary School
149,Donato,Michelangeli,2020-02-05,55,Secondary School
150,Carlo,Camuccini,2022-03-24,33,Ph.D.
151,Gianni,Trapani,2021-04-20,41,Primary School
152,Adelmo,Vezzali,2023-05-10,40,Bachelor's Degree
153,Valentina,Greco,2020-03-06,35,Bachelor's Degree
154,Agnolo,Barcaccia,2021-07-29,25,Ph.D.
155,Giuseppina,Mazzanti,2022-12-25,53,High School
156,Vito,Turchetta,2021-02-23,20,Master's Degree
157,Alessandra,Scandone,2022-10-04,57,High School
158,Giuseppina,Mercadante,2019-11-23,24,High School
159,Mirco,Tognazzi,2021-01-11,52,Master's Degree
160,Eliana,Trebbi,2020-03-05,39,Master's Degree
161,Serafina,Parri,2020-03-20,36,High School
162,Augusto,Nievo,2020-05-25,26,Bachelor's Degree
163,Maurizio,Lombroso,2021-06-12,44,Master's Degree
164,Arnulfo,Luxardo,2022-08-22,59,Master's Degree
165,Ludovica,Iadanza,2023-09-20,41,Bachelor's Degree
166,Stefani,Brambilla,2019-12-17,27,Secondary School
167,Annetta,Pirandello,2018-07-14,56,Bachelor's Degree
168,Natalia,Campano,2022-11-12,54,Bachelor's Degree
169,Domenico,Valentino,2020-06-12,30,Secondary School
170,Federigo,Samele,2021-12-19,56,Primary School
171,Ferdinando,Cafarchia,2021-09-20,40,Ph.D.
172,Luciano,Trevisani,2022-12-09,18,Bachelor's Degree
173,Lisa,Duodo,2023-09-22,24,High School
174,Eugenia,Pavarotti,2020-08-10,54,Master's Degree
175,Federica,Fantoni,2019-11-12,52,Secondary School
176,Sandra,Calgari,2020-06-01,38,Ph.D.
177,Alberto,Treccani,2022-09-20,54,Bachelor's Degree
178,Fabio,Broschi,2023-04-29,45,Bachelor's Degree
179,Pierpaolo,Almagià,2022-06-23,32,Bachelor's Degree
180,Romana,Franzese,2020-04-30,36,Bachelor's Degree
181,Giancarlo,Gianetti,2020-02-08,42,Bachelor's Degree
182,Imelda,Aporti,2021-12-31,28,Master's Degree
183,Raffaele,Semitecolo,2022-09-24,56,High School
184,Benito,Bossi,2018-07-08,37,Bachelor's Degree
185,Raffaellino,Lombardi,2021-05-04,34,Bachelor's Degree
186,Armando,Morpurgo,2021-06-07,19,High School
187,Valerio,Petrassi,2020-12-21,37,Bachelor's Degree
188,Giovanna,Mannoia,2023-06-08,36,Secondary School
189,Liliana,Bellucci,2023-06-05,48,Primary School
190,Severino,Sbarbaro,2021-01-26,25,Ph.D.
191,Stella,Schiaparelli,2019-12-30,57,Bachelor's Degree
192,Irma,Tartini,2020-08-07,33,High School
193,Pierangelo,Mazzacurati,2020-11-08,20,Secondary School
194,Ricciotti,Palombi,2021-10-06,43,Primary School
195,Margherita,Ughi,2023-03-25,48,Master's Degree
196,Ninetta,Serlupi,2018-02-09,53,High School
197,Amleto,Baggio,2017-12-19,33,Bachelor's Degree
198,Morena,Moretti,2022-12-24,20,Secondary School
199,Benedetto,Camanni,2018-05-12,49,High School
200,Martino,Gilardoni,2022-11-19,27,Ph.D.
201,Maura,Scarfoglio,2020-10-10,36,High School
202,Gianluca,Storladi,2023-06-02,49,Master's Degree
203,Greco,Murri,2017-11-13,48,Master's Degree
204,Pierina,Vecellio,2021-07-03,59,Master's Degree
205,Eva,Ceri,2018-07-09,25,Primary School
206,Veronica,Pavarotti,2023-02-14,26,High School
207,Chiara,Papafava,2019-03-15,36,Master's Degree
208,Vincenzo,Ubaldi,2019-08-02,39,Master's Degree
209,Torquato,Gabrieli,2021-06-28,36,Ph.D.
210,Donna,Ferrabosco,2020-11-03,51,Primary School
211,Claudia,Parini,2022-03-20,47,High School
212,Viridiana,Pedersoli,2019-12-20,41,Ph.D.
213,Raffaellino,Mannoia,2020-05-31,55,Secondary School
214,Simonetta,Vivaldi,2019-05-20,20,Primary School
215,Adele,Zecchini,2021-10-31,34,Master's Degree
216,Agostino,Cappelli,2018-01-28,47,Ph.D.
217,Paulina,Zanzi,2021-09-18,24,Ph.D.
218,Giampaolo,Viviani,2021-10-06,52,Secondary School
219,Tiziana,Sabatini,2022-04-25,18,Bachelor's Degree
220,Piermaria,Giolitti,2019-03-15,45,Master's Degree
221,Telemaco,Canetta,2020-09-02,54,Ph.D.
222,Gabriele,Farinelli,2018-07-01,58,Ph.D.
223,Agnolo,Leblanc,2019-02-17,48,Bachelor's Degree
224,Gelsomina,Paganini,2019-09-03,48,Bachelor's Degree
225,Matteo,Bodoni,2021-07-04,30,High School
226,Rita,Lopresti,2019-05-29,47,Primary School
227,Pier,Detti,2019-06-19,37,Primary School
228,Vittorio,Antonetti,2020-12-25,45,Master's Degree
229,Ricciotti,Rossetti,2021-09-16,36,Ph.D.
230,Romeo,Venturi,2023-06-28,48,High School
231,Leonardo,Franceschi,2023-03-09,27,Secondary School
232,Rocco,Moretti,2022-08-25,48,Ph.D.
233,Ivan,Antonetti,2023-09-24,53,Bachelor's Degree
234,Lando,Mercalli,2019-07-30,39,Master's Degree
235,Roberto,Ramazzotti,2018-09-17,27,Bachelor's Degree
236,Fausto,Mimun,2021-05-03,55,Master's Degree
237,Giacinto,Dovara,2018-03-25,21,Primary School
238,Romana,Ruffini,2020-04-09,32,High School
239,Nadia,Nievo,2020-02-13,23,Primary School
240,Gianpietro,Pavone,2018-09-07,60,Primary School
241,Rosaria,Colletti,2019-12-12,39,Ph.D.
242,Laureano,Bompiani,2018-06-25,45,Primary School
243,Domenico,Bergoglio,2019-05-19,43,Ph.D.
244,Dolores,Boldù,2018-11-30,49,Primary School
245,Salvi,Ricolfi,2022-02-13,25,Primary School
246,Natalia,Albertini,2020-02-20,32,Master's Degree
247,Flavia,Rosiello,2018-02-25,59,Primary School
248,Marissa,Bonolis,2019-06-01,26,High School
249,Franco,Tomei,2020-09-14,46,Secondary School
250,Etta,Ostinelli,2021-07-09,29,Master's Degree
251,Baldassare,Cossiga,2021-08-30,29,Bachelor's Degree
252,Tatiana,Botticelli,2022-01-15,28,Primary School
253,Serafina,Garozzo,2023-10-12,57,Secondary School
254,Giampaolo,Babati,2019-09-09,20,Master's Degree
255,Matteo,Grassi,2023-06-07,24,Ph.D.
256,Livio,Loredan,2019-12-26,42,Ph.D.
257,Livio,Emanuelli,2019-07-25,22,High School
258,Antonietta,Bataglia,2020-07-29,21,Master's Degree
259,Paloma,Pisano,2017-11-11,54,Primary School
260,Victoria,Mimun,2019-05-20,43,Master's Degree
261,Pierluigi,Aulenti,2018-06-22,26,Primary School
262,Fortunata,Villadicani,2021-03-28,45,Primary School
263,Flavio,Agostinelli,2019-11-26,38,Ph.D.
264,Evangelista,Vigliotti,2020-01-30,56,Bachelor's Degree
265,Lodovico,Federici,2021-10-30,49,High School
266,Gilberto,Bellucci,2021-09-03,59,High School
267,Roberta,Pellegrini,2018-03-03,21,Secondary School
268,Ludovico,Doria,2023-10-10,36,Secondary School
269,Melina,Siffredi,2019-04-12,54,Ph.D.
270,Renzo,Pozzecco,2020-12-02,50,High School
271,Fabio,Vespa,2020-10-07,53,Master's Degree
272,Piersanti,Saraceno,2021-10-07,57,Secondary School
273,Milena,Puglisi,2023-08-16,34,Primary School
274,Vittorio,Zichichi,2021-03-14,53,Secondary School
275,Piergiorgio,Renier,2018-11-14,34,High School
276,Claudia,Trussardi,2018-12-16,51,Secondary School
277,Sabatino,Berrè,2018-03-31,33,High School
278,Ubaldo,Soffici,2021-07-07,47,Ph.D.
279,Jolanda,Bellucci,2018-10-29,42,Secondary School
280,Severino,Bazzi,2018-11-29,26,Ph.D.
281,Valentina,Lamborghini,2018-06-27,19,Ph.D.
282,Ilaria,Goldstein,2022-07-09,39,Primary School
283,Tullio,Capone,2020-02-01,54,Ph.D.
284,Cipriano,Spallanzani,2022-11-26,20,Primary School
285,Piergiorgio,Pugliese,2022-03-02,25,Master's Degree
286,Micheletto,Boccioni,2020-09-22,56,Bachelor's Degree
287,Margherita,Iannotti,2020-05-17,33,Bachelor's Degree
288,Federica,Franceschi,2023-08-28,47,Bachelor's Degree
289,Amalia,Cesarotti,2023-09-25,38,Primary School
290,Ennio,Boitani,2022-11-29,51,Primary School
291,Paoletta,Bonanno,2020-11-13,52,Ph.D.
292,Serafina,Letta,2021-07-10,42,Primary School
293,Antonia,Monicelli,2023-02-19,27,Bachelor's Degree
294,Piermaria,Valier,2021-07-14,32,Ph.D.
295,Matilda,Cristoforetti,2023-08-18,25,Primary School
296,Enzio,Zamorani,2022-07-15,60,Bachelor's Degree
297,Pierpaolo,Catenazzi,2022-03-01,31,Secondary School
298,Morena,Roccabonella,2023-08-11,57,Bachelor's Degree
299,Liberto,Pistoletto,2021-01-05,40,Secondary School
300,Gino,Ravaglioli,2022-08-19,36,High School
301,Tatiana,Pace,2022-11-14,57,Ph.D.
302,Mariano,Peruzzi,2023-04-15,40,Bachelor's Degree
303,Girolamo,Leone,2023-08-30,42,Secondary School
304,Cristina,Paoletti,2018-12-19,40,Ph.D.
305,Laureano,Cristoforetti,2018-06-17,36,Ph.D.
306,Ivo,Monteverdi,2022-06-23,45,High School
307,Baccio,Barbarigo,2023-10-16,51,Primary School
308,Viridiana,Rosselli,2021-08-27,55,Master's Degree
309,Giosuè,Mezzetta,2019-02-14,31,Ph.D.
